country_code,year0,migLower,migMedian,migUpper,popLower,popMedian,popUpper
222,2025,-307473.21274982,-200193.625203567,-95260.7470910275,6489774.112271,6625165.03445663,6758051.34317473
222,2030,-338636.021658421,-184963.82507221,-56350.5933614783,6431534.42358248,6715182.20123607,7007565.97658537
222,2035,-353931.235693937,-177471.565486588,-15345.168037234,6282175.97812407,6751971.78060227,7241460.48459685
222,2040,-358662.827554825,-174682.933807964,20209.6804171841,6066159.38428834,6756749.39798145,7424224.17259304
222,2045,-368100.949575884,-163205.508135866,45759.6619603511,5832613.45545756,6688722.71944423,7566566.0559188
226,2020,79998,79998,79998,1402985,1402985,1402985
226,2025,-218121.720409631,36883.6199708431,307116.171275062,1349990.87057703,1603201.942601,1870196.31185221
226,2030,-284595.011529455,17818.4870297178,374383.413565077,1325441.29633723,1777372.40973717,2367218.35167012
226,2035,-308435.142263738,13529.1720758196,366915.84453817,1301390.66136739,1948829.04785058,2855135.15572635
226,2040,-343313.913018798,13094.1439666767,443827.520530713,1264053.255429,2129960.71779927,3434625.98824301
226,2045,-378326.517004338,3733.35820589298,537205.302443218,1295203.65432248,2302119.90607417,4017988.6743186
232,2020,-199290,-199290,-199290,3546427,3546427,3546427
232,2025,-435938.558614902,-92935.6798577974,266599.037507742,3513993.58782693,3866472.65973671,4216667.07713603
232,2030,-438692.080548372,-55991.3200679863,310423.080507573,3556398.05403697,4226016.14177416,4848803.19714648
232,2035,-449503.714461994,-42584.9707233888,400442.299927719,3647207.15532424,4620164.32465417,5644317.35481214
232,2040,-471548.535184771,-47120.1203168303,492320.404202324,3769362.60390766,5030094.331212,6555654.57416463
232,2045,-520429.167039639,-39883.0451100961,519096.349869977,3878539.53821966,5409739.62935186,7393190.93993817
233,2020,19555,19555,19555,1326539,1326539,1326539
233,2025,-49028.2033790262,8220.08156814672,62584.021822158,1259664.95860313,1320047.7517526,1376343.56368145
233,2030,-58473.1982703836,5498.94038426488,71150.3309432698,1191666.64339912,1302430.61488025,1419277.87582842
233,2035,-59690.5228825217,3083.53767859522,75012.8311591974,1123774.14522298,1281852.58804154,1457319.44035256
233,2040,-68473.8350394844,-1085.71218673927,77692.1476660938,1050430.06248891,1259165.24496759,1496703.21227362
233,2045,-66323.4315402172,-328.932941980719,74253.5159559814,968485.537494798,1232788.9472479,1554071.5607717
748,2020,-41764,-41764,-41764,1160164,1160164,1160164
748,2025,-62051.6782167651,-35729.4976989531,-10423.3354436877,1188465.17772505,1219767.13600612,1248871.39672116
