country_code,year,q05in,q10in,q50in,q90in,q95in,q05out,q10out,q50out,q90out,q95out,q05net,q10net,q50net,q90net,q95net
442,2038,64559.85,69458,92834,133608.5,153957.65,21528.2,27634.3,59616,93275.6,105395.2,-16551.75,-4062.4,37013,88819.3,106685.15
446,2038,46702.95,56277.9,123157,312338.6,415424,42617.9,50128.7,76337.5,123300.3,143923.4,-29946.1,-18061.9,44579.5,207022.9,316726.85
450,2038,19986.25,22375,34229.5,54915.1,66662.6,28974.1,37086.1,79923.5,168984.9,203512.85,-171109.95,-132066.4,-43053,2993.20000000001,15180.9
454,2038,72691,84662.2,150258,308954.6,376863.1,31133.65,52657.1,226855.5,985838.9,1455849.3,-1270327.95,-799171,-64944.5,154179.9,229793.35
458,2038,811606.15,894142.2,1442553,2527020,2935024,350563.5,442952.2,1022876.5,2261562.7,2873930.55,-1398033.5,-822627.9,407673,1567531.7,1963932.35
462,2038,9157.8,11013.7,21427.5,48638.9,60559.05,1698.6,2245.1,6220,18505.9,24941.6,-6831.5,-656,14306.5,39429.8,53985.05
466,2038,198994.75,234970.5,387555.5,676048.3,933807.65,295946.95,372575.7,817112,1951423.7,2454660.5,-1998934,-1542506.5,-395447,128350.8,276842.75
470,2038,25161.35,27706,41257.5,65227.3,76696.85,9776.9,13475.7,30976,51267.9,58290.1,-19917.35,-10864.4,10578.5,38993.1,48690.3
474,2038,6278.7,7046.7,12321,21376.1,25414.1,3090.5,4276,12276,29819,34311.15,-21778.15,-17067.3,108,11489.2,15432.15
478,2038,28273.35,32956.6,62318,141874.4,180836.35,12637.85,20259.3,80511,282873.5,382134.75,-323337.35,-210843.8,-10246.5,70676.2,114858.7
480,2038,25457.15,27993.4,38775.5,58586.7,63844,11187.05,14657,30597.5,63827,77112.45,-42067.2,-26741.3,8288.5,34905.4,41296.35
